include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files,in_target_list,target_names,nppes_orgs,nppes_states,nppes_sample
?,Mount Sinai,371603148,,MOUNT SINAI- MULTISPECIALTY PHYSICIANS,28,2,"name matches, ownership unverified",MOUNT SINAI- MULTISPECIALTY PHYSICIANS; MOUNT SINAI-MULTISPECIALTY PHYSICIANS; MT SINAI SCHOOL OF MEDICINE,1/45,MT SINAI SCHOOL OF MEDICINE OF NEW YORK UNIVERSITY x1,,"NY9,1,VA1","(not in NPPES) [,  ] | BUXTON, DOUGLAS [Ophthalmology, NEW YORK NY] | JAVANMARD, PEDRAM [Internal Medicine, FALLS CHURCH VA]"
?,Mount Sinai,800756162,,MOUNT SINAI QUEENS FACULTY PRACTICE,28,1,"name matches, ownership unverified",MOUNT SINAI QUEENS FACULTY PRACTICE; MOUNT SINAI RADIOLOGY ASSOCIATES,1/33,MOUNT SINAI SCHOOL OF MEDICINE x1,,"NY10,MA1,MO1","MARU, SHEELA [Obstetrics & Gynecology, BOSTON MA] | GHAFAR, MOHAMED [Obstetrics & Gynecology, ELMHURST NY] | MA, HELEN [Obstetrics & Gynecology, JAMAICA NY]"
?,Mount Sinai,262893302,,MOUNT SINAI MEDICAL CENTER UROLOGY LLC,27,0,"name matches, ownership unverified",MOUNT SINAI MEDICAL CENTER UROLOGY LLC,0/27,,,"FL10,MI1,NY1","CAZES, HEATHER [Nurse Practitioner, Primary Ca, MIAMI BEACH FL] | WEIZER, ALON [Urology, ANN ARBOR MI] | PINEDA GONZALEZ, KARLA [Registered Nurse, Critical Car, HIALEAH FL]"
?,Mount Sinai,113565450,,SOUTH NASSAU FAMILY MEDICINE,23,1,"name matches, ownership unverified",SOUTH NASSAU FAMILY MEDICINE; SOUTH NASSAU FAMILY MEDICINE PC,0/29,,,NY12,"PLOTNITSKIY, MIKHAIL [Obstetrics & Gynecology, VALLEY STREAM NY] | SERAJI BOZORGZAD, JAHANSHAH [Obstetrics & Gynecology, LYNBROOK NY] | SHAPIRO, IRADA [Obstetrics & Gynecology, FOREST HILLS NY]"
?,Mount Sinai,454799159,,SOUTH NASSAU MEDICAL GROUP PC,23,0,"name matches, ownership unverified",SOUTH NASSAU MEDICAL GROUP PC,0/30,,,NY12,"WEINSTOCK, DAVID [Specialist, LYNBROOK NY] | EICHENBAUM, JOSEPH [Specialist, LYNBROOK NY] | MOON, FREDRIC [Obstetrics & Gynecology, MINEOLA NY]"
?,Mount Sinai,352678810,,ICAHN SCHOOL OF MEDICINE AT,22,1,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT; ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2/25,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x2,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,"NY7,CA1","LIM, ANDREW [Radiology, Diagnostic Radiolog, OCEANSIDE NY] | SOYEMI, TEMITOPE [Radiology, Diagnostic Radiolog, WANTAGH NY] | ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI [Physiological Laboratory, NEW YORK NY]"
?,Mount Sinai,383958404,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,22,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,0/22,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,"FL7,NY2,PA1","CALIENDO, FRANK [Surgery, GARDEN CITY NY] | SINGH, VIVEK [Nuclear Medicine, Nuclear Card, JUPITER FL] | SKOMRA, PAUL [Family Medicine, PALM BEACH FL]"
?,Mount Sinai,262692377,,SOUTH NASSAU PHYSICIAN PRACTIC PC,21,1,"name matches, ownership unverified","SOUTH NASSAU PHYSICIAN PRACTIC PC; SOUTH NASSAU PHYSICIAN PRACTICE, PC",0/26,,,"NY10,IA1,PA1","ALEXIADIS, VARVARA [Internal Medicine, Endocrinolo, ROCKVILLE CENTRE NY] | SERAJI BOZORGZAD, JAHANSHAH [Obstetrics & Gynecology, LYNBROOK NY] | SHAPIRO, IRADA [Obstetrics & Gynecology, FOREST HILLS NY]"
?,Mount Sinai,863355115,,MOUNT SINAI VASCULAR INSTITU,14,0,"name matches, ownership unverified",MOUNT SINAI VASCULAR INSTITU,0/14,,,FL12,"ZYBULEWSKI, ADAM [Radiology, Diagnostic Radiolog, MIAMI BEACH FL] | REYES, DANIEL [Student in an Organized Health, MIAMI BEACH FL] | RODRIGUEZ, KAYLA [Physician Assistant, MIAMI BEACH FL]"
?,Mount Sinai,450537391,,MOUNT SINAI DIAGNOSTIC & TREATMENT CENTE,12,0,"name matches, ownership unverified",MOUNT SINAI DIAGNOSTIC & TREATMENT CENTE,0/12,,,"NY9,CT1,PA1","SHIRAZIAN, TARANEH [Obstetrics & Gynecology, NEW YORK NY] | HOROWITZ, CAROL [Internal Medicine, NEW YORK NY] | ADLER, RHODES [Internal Medicine, NEW YORK NY]"
?,Mount Sinai,112706137,,SOUTH NASSAU DERMATOLOGY,11,1,"name matches, ownership unverified",SOUTH NASSAU DERMATOLOGY; SOUTH NASSAU DERMATOLOGY PC,0/12,,SOUTH NASSAU DERMATOLOGY P.C. x1,NY8,"LOWENSTEIN, EVE [Dermatology, OCEANSIDE NY] | SOUTH NASSAU DERMATOLOGY P.C. [Specialist, OCEANSIDE NY] | COHEN, MICHAEL [Dermatology, MOHS-Micrographic, OCEANSIDE NY]"
?,Mount Sinai,133988963,,BETH ISRAEL MED,10,0,"name matches, ownership unverified",BETH ISRAEL MED,0/11,,,"NY10,GA1","FAOUR, FARAJ [Internal Medicine, NEW YORK NY] | TAURANI, CHRISTOPHER [Internal Medicine, NEW YORK NY] | HUI, JENNIFER [Internal Medicine, NEW YORK NY]"
?,Mount Sinai,383931355,,ICAHN SCHOOL OF MEDICINE AT MOUNT S,9,6,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT S; ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; MT. SINAI PEDIATRICS; ORTHOPEDICS OF MOUNT SINAI SLR; SURGERY DEPT OF MT SINAI SLR; UROLOGY AT BETH ISRAEL MEDICAL CENTER,0/48,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x2,"NY6,1,CO1","(not in NPPES) [,  ] | BOWLING, MORGAN [Pediatrics, NEW YORK NY] | ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI [Dermatology, NEW YORK NY]"
?,Mount Sinai,320456795,,ICAHN SCHOOL OF MEDICINE AT MOUNT,9,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT,0/15,,"VICTORY INTERNAL MEDICINE, P.C. x1","NY10,MA1,NJ1","LEE, JESSICA [Ophthalmology, HAUPPAUGE NY] | BRUM, SETH [Internal Medicine, STATEN ISLAND NY] | BERGMAN, AKIVA [Internal Medicine, STATEN ISLAND NY]"
?,Mount Sinai,611936379,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,5,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,0/5,,,NJ5,"SEGOVIA, FERNANDO [Internal Medicine, Cardiovascu, EDGEWATER NJ] | BAREKET, YARON [Internal Medicine, Cardiovascu, EDGEWATER NJ] | PUMILL, CHRISTOPHER [Student in an Organized Health, EDGEWATER NJ]"
?,Mount Sinai,203295727,,MOUNT SINAI MEDICAL CENTER PSYSICIAN PRA,5,0,"name matches, ownership unverified",MOUNT SINAI MEDICAL CENTER PSYSICIAN PRA,0/5,,,"FL4,1","(not in NPPES) [,  ] | BIRNBAUM, VIVIAN [Internal Medicine, MIAMI BEACH FL] | LAWSON, DONALD [Specialist, MIAMI BEACH FL]"
?,Mount Sinai,136171197,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,4,5,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI; MOUNT SINAI GENETIC TESTING LABORATORY; MOUNT SINAI PATHOLOGY ASSOCIATES; MOUNT SINAI PATHOLOGY CONSULTANTS; MT SINAI TRANSFUSION MEDICAL ASSOC; MT SINAI- DIV MED GENETIC; MT SINAI/PEDIATRIC ENDOCRINOLOGY; MT. SINAI PATHOLOGY CONSULTANTS; MT. SINAI RADIOLOGY ASSOCIATES; MT. SINAI SCHOOL OF MEDICINE AMBULATORY SURGERY,12/130,MOUNT SINAI SCHOOL OF MEDICINE x12,MOUNT SINAI SCHOOL OF MEDICINE x2,"NY6,CA1,MN1","CORITSIDIS, GEORGE [Internal Medicine, Nephrology, ELMHURST NY] | GIVRE, SHEREE [Emergency Medicine, ELMHURST NY] | WONG, WILLIAM [Radiology, Diagnostic Radiolog, HUNTINGTON BEACH CA]"
?,Mount Sinai,113440790,,SOUTH NASSAU RADIOLOGY PC,4,0,"name matches, ownership unverified",SOUTH NASSAU RADIOLOGY PC,0/4,,SOUTH NASSAU RADIOLOGY PC x1,NY4,"LASTIG, STEPHEN [Radiology, Diagnostic Radiolog, HICKSVILLE NY] | WINN, MICHAEL [Radiology, Diagnostic Radiolog, HICKSVILLE NY] | RICHMAN, KENNETH [Radiology, Vascular & Interven, HICKSVILLE NY]"
?,Mount Sinai,822152017,,MT SINAI WELLNESS CENTER,4,0,"name matches, ownership unverified",MT SINAI WELLNESS CENTER,0/4,,"MT. SINAI WELLNESS CENTER, LLC x1",GA4,"STEINBERG, NOAH [Physician Assistant, DAHLONEGA GA] | MURRAY, RASCHELLE [Nurse Practitioner, Psych/Ment, MARIETTA GA] | PONE, NADEGE [Nurse Practitioner, Psych/Ment, TUCKER GA]"
?,Mount Sinai,454517851,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,2,0,"name matches, ownership unverified",ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI,0/2,,,"CT1,NY1","RAGOVIS, NICHOLAS [Hospitalist, GREENWICH CT] | STEVENS, NICHOLAS [Psychiatry & Neurology, Psychi, NEW YORK NY]"
?,Mount Sinai,133970709,,BETH ISRAEL MEDICAL CENTER BIMC PAIN,2,0,"name matches, ownership unverified",BETH ISRAEL MEDICAL CENTER BIMC PAIN,0/3,,BETH ISRAEL MEDICAL CENTER x1,"NY2,GA1","DESANDRE, PAUL [Emergency Medicine, Hospice an, DECATUR GA] | BETH ISRAEL MEDICAL CENTER [, NEW YORK NY] | SLOMBA, JAN [Anesthesiology, BROOKLYN NY]"
?,Mount Sinai,990898367,,MOUNT SINAI DOCTORS WEIGHT LOSS CENTER LLC,2,0,"name matches, ownership unverified",MOUNT SINAI DOCTORS WEIGHT LOSS CENTER LLC,0/2,,,"1,TX1","(not in NPPES) [,  ] | NWAOKWU, LEO [Nurse Practitioner, Family, DALLAS TX]"
?,Mount Sinai,205624927,,BETH ISRAEL MEDECIAL CENTER,2,0,"name matches, ownership unverified",BETH ISRAEL MEDECIAL CENTER,0/2,,,NY2,"KIRSTEIN, LAURIE [Surgery, NEW YORK NY] | FELDMAN, SHELDON [Surgery, Surgical Oncology, NEW YORK NY]"
?,Mount Sinai,383657559,,SURGICAL SERVICES OF BETH ISRAEL MEDICAL,2,0,"name matches, ownership unverified",SURGICAL SERVICES OF BETH ISRAEL MEDICAL,0/2,,,"CA1,NY1","TOMITA, SANDRA [Surgery, Pediatric Surgery, SAN DIEGO CA] | TROIA, ROSANNA [Podiatrist, NEW YORK NY]"
?,Mount Sinai,263932464,,MOUNT SINAI INTENSIVISTS LLC,2,0,"name matches, ownership unverified",MOUNT SINAI INTENSIVISTS LLC,0/2,,,FL2,"ABDELFATTAH, SARAH [Anesthesiology, MIAMI FL] | GOROSTIAGA, FEDERICO [Internal Medicine, Critical Ca, MIAMI FL]"
?,Mount Sinai,113319620,,SOUTH NASSAU NEONATAL SERVICES P C,2,0,"name matches, ownership unverified",SOUTH NASSAU NEONATAL SERVICES P C,0/2,,,NY2,"VALDIVIESO, JULIO [Pediatrics, Neonatal-Perinatal, OCEANSIDE NY] | JEAN-CHARLES, PAUL [Pediatrics, Neonatal-Perinatal, OCEANSIDE NY]"
?,Mount Sinai,371697648,,MOUNT SINAI BROOKLYN HEIGHTS MEDICAL,1,2,"name matches, ownership unverified",MOUNT SINAI BROOKLYN HEIGHTS MEDICAL; MOUNT SINAI BROOKLYN HEIGHTS MEDICAL GROUP,1/10,MOUNT SINAI SCHOOL OF MEDICINE x1,MOUNT SINAI SCHOOL OF MEDICINE x1,"NY7,1","(not in NPPES) [,  ] | BLIAGOS, DIMITRIOS [Internal Medicine, Cardiovascu, WHITE PLAINS NY] | POSTELL, SCOTT [Obstetrics & Gynecology, BROOKLYN NY]"
?,Mount Sinai,271057159,,SOUTH NASSAU WALK-IN MEDICAL CARE,1,1,"name matches, ownership unverified",SOUTH NASSAU WALK-IN MEDICAL CARE; SOUTH NASSAU WALK-IN MEDICAL CARE PC,0/2,,"SOUTH NASSAU WALK-IN MEDICAL CARE, P.C. x1",NY2,"SOUTH NASSAU WALK-IN MEDICAL CARE, P.C. [Specialist, OCEANSIDE NY] | LUTHRA, JASMINDER [Emergency Medicine, NEW CITY NY]"
?,Mount Sinai,134941247,,BANKERS TRUST MT SINAI RAD,1,0,"name matches, ownership unverified",BANKERS TRUST MT SINAI RAD,0/1,,,1,"(not in NPPES) [,  ]"
?,Mount Sinai,261408014,,MOUNT SINAI CARDIO-PRICARE LLC,1,0,"name matches, ownership unverified",MOUNT SINAI CARDIO-PRICARE LLC,0/1,,,FL1,"SEGALL, PETER [Specialist, MIAMI BEACH FL]"
?,Mount Sinai,934782601,,MT SINAI PSYCHIATRIC SERVICES,1,0,"name matches, ownership unverified",MT SINAI PSYCHIATRIC SERVICES,0/1,,,NC1,"MOMANYI, WINNIE [Student in an Organized Health, GARNER NC]"
?,Mount Sinai,753048539,,MT SINAI UROLOGY,1,0,"name matches, ownership unverified",MT SINAI UROLOGY,0/1,,,FL1,"KLOPUKH, BORIS [Urology, AVENTURA FL]"
?,Mount Sinai,113492255,,MOUNT SINAI MANHASSET MEDICAL,0,4,"name matches, ownership unverified",MOUNT SINAI MANHASSET MEDICAL; MOUNT SINAI MARATHON MEDICAL-HOSPITALISTS; NORTH SHORE MEDICAL GROUP OF MOUNT SINAI; NORTH SHORE MEDICAL GROUP OF THE MT. SINAI,3/545,NORTH SHORE MEDICAL GROUP OF THE MOUNT SINAI SCHOOL OF MEDICINE x3,,"NY11,PA1","KANTOR, DIANA [Internal Medicine, NEW YORK NY] | MCNEIL, TARYN [Registered Nurse, Community He, OCEANSIDE NY] | WEINSTOCK, DAVID [Specialist, LYNBROOK NY]"
?,Mount Sinai,800631086,,MOUNT SINAI MEDICAL ASSOCIATES,0,2,"name matches, ownership unverified",MOUNT SINAI MEDICAL ASSOCIATES,1/3,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1; LFL INTERNAL MEDICINE ASSOCIATES PC x1,NY3,"CHERNICK, STEPHEN [Podiatrist, FOREST HILLS NY] | ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI [Internal Medicine, Endocrinolo, NEW YORK NY] | LFL INTERNAL MEDICINE ASSOCIATES PC [Internal Medicine, FOREST HILLS NY]"
?,Mount Sinai,300883618,,MOUNT SINAI DOCTORS CCSI,0,2,"name matches, ownership unverified",MOUNT SINAI DOCTORS CCSI,1/2,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1; CARDIOVASCULAR CONSULTANTS OF STATEN ISLAND PC x1,NY2,"ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI [Internal Medicine, Cardiovascu, STATEN ISLAND NY] | CARDIOVASCULAR CONSULTANTS OF STATEN ISLAND PC [Internal Medicine, Cardiovascu, STATEN ISLAND NY]"
?,Mount Sinai,103020231,,BISLR MEDICAL GROUPS OF MOUNT SINAI,0,1,"name matches, ownership unverified",BISLR MEDICAL GROUPS OF MOUNT SINAI,0/1,,,1,"(not in NPPES) [,  ]"
?,Mount Sinai,112819860,,RADIOLOGICAL ASSOC. OF SOUTH NASSAU,0,1,"name matches, ownership unverified",RADIOLOGICAL ASSOC. OF SOUTH NASSAU,0/1,,,1,"(not in NPPES) [,  ]"
?,Mount Sinai,112898134,,NUCLEAR MEDICINE OF SOUTH NASSAU,0,1,"name matches, ownership unverified",NUCLEAR MEDICINE OF SOUTH NASSAU,0/1,,,1,"(not in NPPES) [,  ]"
?,Mount Sinai,113285460,,SOUTH NASSAU RADIATION ONCOLOGYSA,0,1,"name matches, ownership unverified",SOUTH NASSAU RADIATION ONCOLOGYSA,0/1,,,1,"(not in NPPES) [,  ]"
?,Mount Sinai,113564321,,CHIROPRACTIC CENTER OF MT. SINAI,0,1,"name matches, ownership unverified",CHIROPRACTIC CENTER OF MT. SINAI,0/2,,,"1,NY1","(not in NPPES) [,  ] | SALL, DENNIS [Chiropractor, HOLBROOK NY]"
?,Mount Sinai,133746346,,MT. SINAI- RIVERSIDE MEDICAL GROUP,0,1,"name matches, ownership unverified",MT. SINAI- RIVERSIDE MEDICAL GROUP,0/1,,,1,"(not in NPPES) [,  ]"
?,Mount Sinai,112925636,,MOUNT SINAI-MULTISPECIALTY PHYSICIANS,0,1,"name matches, ownership unverified",MOUNT SINAI-MULTISPECIALTY PHYSICIANS,0/3,,,"NY2,1","(not in NPPES) [,  ] | TEITEL, MICHAEL [Internal Medicine, Allergy & I, NEW YORK NY] | MARONE, FREYA [Internal Medicine, DOUGLASTON NY]"
?,Mount Sinai,113581988,,"SOUTH NASSAU PRIMARY MEDICAL CARE, PC",0,1,"name matches, ownership unverified","SOUTH NASSAU PRIMARY MEDICAL CARE, PC",0/8,,SOUTH NASSAU PRIMARY MEDICAL CARE PC x1,"NY7,DE1","LAMOUR, CYNTHIA [Family Medicine, MILLSBORO DE] | MCHYMAN, CAROLYNE [Family Medicine, BELLMORE NY] | SOUTH NASSAU PRIMARY MEDICAL CARE PC [Clinic/Center, Multi-Specialty, BELLMORE NY]"
?,Mount Sinai,814237728,,SOUTH NASSAU PHYSICAL THERAPY P.C.,0,1,"name matches, ownership unverified",SOUTH NASSAU PHYSICAL THERAPY P.C.,0/4,,SOUTH NASSAU PHYSICAL THERAPY PC x1,NY4,"MUNDIA, SABAA [Physical Therapist, HEMPSTEAD NY] | MOSKOWITZ, LAUREN [Occupational Therapist, BROOKLYN NY] | SOUTH NASSAU PHYSICAL THERAPY PC [Physical Therapist, HEMPSTEAD NY]"
?,Mount Sinai,112980257,,PLAZA FOOT CARE MT SINAI,0,1,"name matches, ownership unverified",PLAZA FOOT CARE MT SINAI,0/1,,"PLAZA FOOT CARE OF MT SINAI, P.C. x1",FL1,"PLAZA FOOT CARE OF MT SINAI, P.C. [Clinic/Center, Podiatric, LAKE WORTH FL]"
?,Mount Sinai,205826243,,MIDWIFERY GROUP OF BETH ISRAEL MED,0,1,"name matches, ownership unverified",MIDWIFERY GROUP OF BETH ISRAEL MED,0/148,,,"NY7,PA2,1","(not in NPPES) [,  ] | GANDRA, NIREN [Internal Medicine, CHICAGO IL] | CHEUNG, BARBARA [Internal Medicine, NEW YORK NY]"
?,Mount Sinai,364901314,,MOUNT SINAI DOCTORS - STATEN ISLAND CANCER,0,1,"name matches, ownership unverified",MOUNT SINAI DOCTORS - STATEN ISLAND CANCER,1/1,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,NY1,"ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI [Internal Medicine, Hematology, STATEN ISLAND NY]"
?,Mount Sinai,273857309,,"SOUTH NASSAU ONCOLOGY, PC",0,1,"name matches, ownership unverified","SOUTH NASSAU ONCOLOGY, PC",0/3,,SOUTH SHORE RADIATION ONCOLOGY ASSOCIATES P C x1,NY3,"MULLEN, EDWARD [Specialist, OCEANSIDE NY] | WU, LEESTER [Radiology, Therapeutic Radiolo, HICKSVILLE NY] | SOUTH SHORE RADIATION ONCOLOGY ASSOCIATES P C [, UNIONDALE NY]"
?,Mount Sinai,371860554,,MOUNT SINAI HOME RECOVERY CARE,0,1,"name matches, ownership unverified",MOUNT SINAI HOME RECOVERY CARE,0/1,,ONE GUSTAVE L LEVY PLACE INDEPENDENT PRACTICE ASSOCIATION LLC x1,TN1,"ONE GUSTAVE L LEVY PLACE INDEPENDENT PRACTICE ASSOCIATION LLC [Case Management, NASHVILLE TN]"
?,Mount Sinai,454517774,,MT. SINAI FPA URGENT CARE CENTER,0,1,"name matches, ownership unverified",MT. SINAI FPA URGENT CARE CENTER,0/5,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,"NY3,2","(not in NPPES) [,  ] | ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI [Emergency Medicine, NEW YORK NY] | VOLOKH, VLADIMIR [Family Medicine, STATEN ISLAND NY]"
?,Mount Sinai,300740333,,MOUNT SINAI MANHATTAN HEART,0,1,"name matches, ownership unverified",MOUNT SINAI MANHATTAN HEART,1/1,MOUNT SINAI SCHOOL OF MEDICINE x1,MOUNT SINAI SCHOOL OF MEDICINE x1,NY1,"MOUNT SINAI SCHOOL OF MEDICINE [Internal Medicine, Cardiovascu, NEW YORK NY]"
?,Mount Sinai,320421727,,MT SINAI ASSOCIATES IN INTERNAL MEDICINE,0,1,"name matches, ownership unverified",MT SINAI ASSOCIATES IN INTERNAL MEDICINE,0/1,,ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI x1,NY1,"ICAHN SCHOOL OF MEDICINE AT MOUNT SINAI [Internal Medicine, NEW YORK NY]"
?,NYU Langone,113016374,,WINTHROP RADIOLOGY ASSOCIATES PC,35,1,"name matches, ownership unverified",WINTHROP RADIOLOGY ASSOCIATES PC,0/54,,WINTHROP RADIOLOGY ASSOCIATES PC x1,"NY5,1,PA1","(not in NPPES) [,  ] | HAAS, JONATHAN [, PHILADELPHIA PA] | BROWN, WENDY [Radiology, Diagnostic Radiolog, GRAND RAPIDS MI]"
?,NYU Langone,111633486,,WINTHROP UNIVERSITY HOSPITAL PA NP SERVICES,30,0,"name matches, ownership unverified",WINTHROP UNIVERSITY HOSPITAL PA NP SERVICES,1/30,NYU LANGONE HOSPITALS x1,WINTHROP UNIVERSITY HOSPITAL EMERGENCY ROOM PHYSICIANS x1; NYU LANGONE HOSPITALS x1; WINTHROP FIRST CARE MEDICAL SERVICES PC x1,"NY5,TX1,1","WINTHROP UNIVERSITY HOSPITAL EMERGENCY ROOM PHYSICIANS [Emergency Medicine, BETHPAGE NY] | KHARODE, CHAULA [Psychiatry & Neurology, Neurol, MINEOLA NY] | NYU LANGONE HOSPITALS [General Acute Care Hospital, MINEOLA NY]"
?,NYU Langone,133471315,,NEW YORK UNIVERSITY MEDICAL CENTER PATHO,26,1,"name matches, ownership unverified",NEW YORK UNIVERSITY MEDICAL CENTER PATHO; NYU PATHOLOGY ASSOC,0/32,,,"NY10,NC1,MD1","BARISONI-THOMAS, LAURA [Pathology, Anatomic Pathology, DURHAM NC] | YIM, JOON [Pathology, Anatomic Pathology, ROCKVILLE MD] | OWEITY, THAIRA [Pathology, Cytopathology, NEW YORK NY]"
?,NYU Langone,134024202,,NYU DOWNTOWN FACULTY PRACTICE OPD,25,1,"name matches, ownership unverified",NYU DOWNTOWN FACULTY PRACTICE OPD; NYU DOWNTOWN-OB/GYN,0/31,,NY DOWNTOWN FACULTY PRACTICE OPD x1,"NY10,CT1","ZHANG, VICTORIA [Physical Medicine & Rehabilita, NEW YORK NY] | WANG, ZHAO [Specialist, BROOKLYN NY] | SMITH, ANTHONY [Internal Medicine, Critical Ca, NEW YORK NY]"
?,NYU Langone,462271522,,WINTHROP FIRST CARE MEDICAL SERVICES PC,14,0,"name matches, ownership unverified",WINTHROP FIRST CARE MEDICAL SERVICES PC,0/14,,WINTHROP FIRST CARE MEDICAL SERVICES PC x1; WINTHROP FACULTY MEDICAL AFFILIATES UNIVERSITY FACULTY PRACTICE CORPOR x1,NY8,"BARANIN, RENEE [Emergency Medicine, MANHASSET NY] | WINTHROP FIRST CARE MEDICAL SERVICES PC [Emergency Medicine, BETHPAGE NY] | SHESTAK, WILLIAM [Emergency Medicine, BETHPAGE NY]"
?,NYU Langone,134000626,,NYU NUCLEAR CARDIOLOGY ASSOCIATES,11,1,"name matches, ownership unverified",NYU NUCLEAR CARDIOLOGY ASSOCIATES,0/12,,NYU NUCLEAR CARDIOLOGY ASSOCIATES x1,NY8,"NYU NUCLEAR CARDIOLOGY ASSOCIATES [Internal Medicine, Cardiovascu, NEW YORK NY] | COLE, WILLIAM [Internal Medicine, Cardiovascu, NEW YORK NY] | SRICHAI-PARSIA, MONVADI [Internal Medicine, Cardiovascu, NEW YORK NY]"
?,NYU Langone,133946114,,NEW YORK UNIVERSITY MEDICAL CENTER INTERNAL MEDICINE ASSOCIATES,11,0,"name matches, ownership unverified",NEW YORK UNIVERSITY MEDICAL CENTER INTERNAL MEDICINE ASSOCIATES,0/13,,,NY12,"CARDONE, DENNIS [Family Medicine, Sports Medici, NEW YORK NY] | CARRON, CATHY [Internal Medicine, NEW YORK NY] | BRETTHOLZ, EDWARD [Internal Medicine, Gastroenter, NEW YORK NY]"
?,NYU Langone,830558394,,WINTHROP COUNSELING SERVICES,4,0,"name matches, ownership unverified",WINTHROP COUNSELING SERVICES,0/4,,,FL4,"STAINTON, ALLISON [Social Worker, Clinical, RIVERVIEW FL] | OSTRANDER, ANGELA [Developmental Therapist, RIVERVIEW FL] | CHAMBERS, JAYME [Counselor, Mental Health, GIBSONTON FL]"
?,NYU Langone,112891904,,WINTHROP PEDIATRIC ASSOCIATES PC,4,0,"name matches, ownership unverified",WINTHROP PEDIATRIC ASSOCIATES PC,0/13,,,"NY8,ID1,FL1","MIURA, YUKIKO [Pediatrics, BOISE ID] | HENNING, SHANNON [Pediatrics, SYOSSET NY] | MICHEL, LESLY [Pediatrics, FAR ROCKAWAY NY]"
?,NYU Langone,465512887,,WINTHROP PHYSICAL THERAPY PS,4,0,"name matches, ownership unverified",WINTHROP PHYSICAL THERAPY PS,0/4,,"WINTHROP PT, PS x1",WA4,"RYAN, COLLEEN [Physical Therapist, WENATCHEE WA] | DICKINSON, PETER [Physical Therapist, WINTHROP WA] | KOKES, JENNA [Physical Therapist, WINTHROP WA]"
?,NYU Langone,133831707,,NYU MEDICAL CENTER RADIOLOGY ASSOCIATES,3,0,"name matches, ownership unverified",NYU MEDICAL CENTER RADIOLOGY ASSOCIATES,0/3,,,NY3,"NACHAMIE, MARK [Internal Medicine, NEW YORK NY] | SHAPIRO, MAKSIM [, NEW YORK NY] | YAGHOOBIAN, JAHANGUIR [Radiology, Diagnostic Radiolog, NEW YORK NY]"
?,NYU Langone,113028843,,WINTHROP CARDIOLOGY ASSOCIATES PC,3,0,"name matches, ownership unverified",WINTHROP CARDIOLOGY ASSOCIATES PC,0/3,,WINTHROP CARDIOLOGY ASSOCIATES P C x1; WINTHROP INFECTIOUS DISEASE ASSOCIATES x1,NY3,"WINTHROP CARDIOLOGY ASSOCIATES P C [Internal Medicine, Cardiovascu, MINEOLA NY] | WINTHROP INFECTIOUS DISEASE ASSOCIATES [Internal Medicine, Infectious , BETHPAGE NY] | DELEON, JOSHUA [Internal Medicine, Cardiovascu, MINEOLA NY]"
