include,system,tin,entity_type,entity,npis_cigna,npis_aetna,note,business_names_in_payer_files,in_target_list,target_names,nppes_orgs,nppes_states,nppes_sample
Y,NYP,131624190,hospital,NYP Westchester Behavioral Health (Payne Whitney),0,1,,NY PRESBYTERIAN HOSP-PAYNE WHITNEY WESTCHESTER,0/3,,,"NY2,1","(not in NPPES) [,  ] | KWON, CHARLES [Emergency Medicine, NEW YORK NY] | WEINGRAM, JUDITH [Anesthesiology, NEW YORK NY]"
Y,NYP,462333282,hospital,NYP Brooklyn Methodist Hospital,0,1,,NEWYORK-PRESBYTERIAN BROOKLYN METHODIST HOSPITAL,0/1134,,,"NY11,NJ1","SINGH, VISHWAS [Internal Medicine, NEW YORK NY] | BEA, VIVIAN [Surgery, BROOKLYN NY] | YANG, YANJIN [Internal Medicine, BROOKLYN NY]"
Y,NYP,274719998,physician group,NYP Medical Group Hudson Valley,0,2,,NEW YORK-PRESBYTERIAN MEDICAL GROUP/HUDSON VALLEY; NEW YORK-PRESBYTERIAN MEDICAL GROUP/QUEENS,0/634,,"NEW YORK QUEENS MEDICINE AND SURGERY, P.C. x1","NY7,1","(not in NPPES) [,  ] | GHELECHKHANI, ANA [Physician Assistant, Medical, FLUSHING NY] | PALACIOS, PEDRO [Physician Assistant, Medical, FLUSHING NY]"
Y,NYP,131623978,physician group,NYP Medical Group Queens,0,1,,NEW YORK-PRESBYTERIAN MEDICAL GROUP/QUEENS,0/2472,,"NEW YORK QUEENS MEDICINE AND SURGERY, P.C. x1","NY5,1,IA1","(not in NPPES) [,  ] | LEE, SANGIL [Emergency Medicine, IOWA CITY IA] | NELSON, PRISCILLA [Anesthesiology, PHILADELPHIA PA]"
Y,WMC,133964321,hospital,"Westchester County Health Care Corp (WMC, MidHudson Regional)",10,7,,MID-HUDSON REGIONAL HOSPITAL OF WESTCHESTER; WESTCHESTER COUNTY HEALTH CARE CORP; WESTCHESTER MEDICAL CENTER,4/20,WESTCHESTER COUNTY HEALTH CARE CORPORATION x3; WESTCHESTER MEDICAL CENTER x1,WESTCHESTER COUNTY HEALTH CARE CORPORATION x2; WESTCHESTER COUNTY HEALTHCARE CORP x1,"NY7,1","(not in NPPES) [,  ] | PUCCIO, CARMELO [Internal Medicine, Hematology , HAWTHORNE NY] | WESTCHESTER COUNTY HEALTH CARE CORPORATION [Home Health, POUGHKEEPSIE NY]"
Y,WMC,141347717,hospital,Bon Secours Community Hospital (WMCHealth),4,2,,BON SECOURS COMMUNITY HOSPITAL,0/6,,BON SECOURS COMMUNITY HOSPITAL x4,"NY5,PA1","BON SECOURS COMMUNITY HOSPITAL [Skilled Nursing Facility, PORT JERVIS NY] | BON SECOURS COMMUNITY HOSPITAL [Family Medicine, MILFORD PA] | SOE, KHIN [Psychiatry & Neurology, Forens, HARRIS NY]"
Y,WMC,264709927,physician group,WMC Advanced Physician Services,1487,3,,WESTCHESTER MEDICAL CENTER ADVANCED PHYS; WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN,2/1923,"WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES PC x1; WESTCHESTER MEDICAL CENTER ADVANCED PHYSICIAN SERVICES, PC x1",,"NY9,1,PA1","(not in NPPES) [,  ] | SHARMA, CORDELIA [Surgery, HAWTHORNE NY] | WASSERMAN, AMY [Internal Medicine, HAWTHORNE NY]"
Y,WMC,461883875,physician group,WMC Physician Practices,157,0,,WMC PHYSICIAN PRACTICES INC,0/157,,,"WV7,PA4,OH1","ELTRINGHAM, SEUNG-HA [Nurse Practitioner, Family, WINTERSVILLE OH] | HOODA, DEEPAK [Internal Medicine, Interventio, WHEELING WV] | PATANI, HEMANT [Internal Medicine, MC DONALD PA]"
Y,White Plains,131740130,hospital,White Plains Hospital,287,5,,URGENT CARE CENTER AT WHITE PLAINS HOSPITAL; WHITE PLAINS HOSPITAL CENTER; WHITE PLAINS HOSPITAL CENTER EMERGENCY PHYSICIANS,11/351,WHITE PLAINS HOSPITAL MEDICAL CENTER x10; WHITE PLAINS HOSPITAL CENTER x1,WHITE PLAINS HOSPITAL MEDICAL CENTER x1,"NY5,1,CT1","(not in NPPES) [,  ] | DEGUZMAN-JAVIER, GERALDINE [Physician Assistant, Surgical, NEW YORK NY] | WHITE PLAINS HOSPITAL MEDICAL CENTER [General Acute Care Hospital, WHITE PLAINS NY]"
Y,Northwell,111639818,hospital,Mather Hospital,361,3,,JOHN T MATHER MEMORIAL HOSPITAL; JOHN T. MATHER HOSPITAL-EMERGENCY MEDICINE; JOHN T. MATHER HOSPITALISTS,0/412,,,"NY10,NJ1,PA1","GILL, ANITA [Psychiatry & Neurology, Neurol, SUMMIT NJ] | SCHUSTER, LINDSEY [Emergency Medicine, MOUNT SINAI NY] | DEVLIN, MELISSA [Internal Medicine, Critical Ca, GREAT NECK NY]"
Y,Northwell,111630914,hospital,Huntington Hospital,119,5,,HUNTINGTON HOSP INTENSIVE CARE PHYS; HUNTINGTON HOSPITAL ASSOCIATION; HUNTINGTON HOSPITAL PATHOLOGY DEPT.,0/153,,,"NY9,1,FL1","(not in NPPES) [,  ] | CHAFIIAN, DAVID [Internal Medicine, BROOKLYN NY] | SHIH, PETER [Internal Medicine, Pulmonary D, FORT WALTON BEACH FL]"
Y,Northwell,131740118,hospital,Northern Westchester Hospital,96,10,,NORTHERN WESTCHESTER HOSPITAL ASSOCIATIO; NORTHERN WESTCHESTER HOSPITAL CENTER; NORTHERN WESTCHESTER HOSPITAL-YORKTOWN IMAGING,0/154,,,"NY9,PA1,CT1","BALSELLS, HERBERTH [Emergency Medicine, MOUNT KISCO NY] | BORGIA, DENA [Nurse Practitioner, Family, BROOKLYN NY] | KHALIFEH, MAZEN [Pediatrics, Neonatal-Perinatal, MOUNT KISCO NY]"
Y,Northwell,111667761,hospital,South Shore University Hospital (Southside),47,4,,SOUTH SHORE UNIVERSITY HOSPITAL; SOUTHSIDE HOSPITAL; SOUTHSIDE HOSPITAL DEPT. OF RADIOLOGY,0/52,,,"NY7,FL2,1","(not in NPPES) [,  ] | WEISS, SCOTT [Internal Medicine, Sports Medi, GAINESVILLE FL] | SHALMI, CRAIG [Anesthesiology, Pain Medicine, BABYLON NY]"
Y,Northwell,112241326,hospital,Long Island Jewish Forest Hills / LIJ,44,6,,LIJ RADIOLOGY PRIVATE PRACTICE; LONG ISLAND JEWISH FOREST HILLS; LONG ISLAND JEWISH MED CTR RAD-ONCO; LONG ISLAND JEWISH MEDICAL CENTER; LONG ISLAND JEWISH MEDICAL CENTER-PROJECT OUTREACH; LONG ISLAND JEWISH MEDICAL CTR; LONG ISLAND JEWISH VALLEY STREAM; STEVEN AND ALEXANDRA COHEN CHILDRENS MEDICAL CTR,0/64,,LONG ISLAND JEWISH MEDICAL CENTER x1,"NY6,NJ2,1","(not in NPPES) [,  ] | FERRONE, GEORGE [Radiology, Vascular & Interven, RIVER EDGE NJ] | WIND, EDWARD [Radiology, Diagnostic Radiolog, NEW HYDE PARK NY]"
Y,Northwell,131725076,hospital,Phelps Hospital,41,3,,PHELPS MEMORIAL HOSPITAL; PHELPS MEMORIAL HOSPITAL CENTER,0/53,,PHELPS MEMORIAL HOSPITAL ASSOCIATION x1,NY8,"KYI, MICHAEL [Emergency Medicine, SOUTH SALEM NY] | CRISTESCU, CORINA [Internal Medicine, MIDDLETOWN NY] | PHELPS MEMORIAL HOSPITAL ASSOCIATION [Internal Medicine, SLEEPY HOLLOW NY]"
Y,Northwell,112965586,hospital,Northwell Healthcare Inc,37,0,,NORTHWELL HEALTHCARE INC,1/39,NORTH SHORE LONG ISLAND JEWISH HEALTHCARE x1,NORTH SHORE LONG ISLAND JEWISH HEALTHCARE x1,NY10,"SHEBES, MATTHEW [Physician Assistant, Surgical, COMMACK NY] | VERMA, ROHIT [Orthopaedic Surgery, Orthopaed, MANHASSET NY] | WACHSMAN, DANIEL [Internal Medicine, Cardiovascu, WOODBURY NY]"
Y,Northwell,112868878,hospital,Staten Island University Hospital,12,3,,STATEN ISLAND UNIVERISTY HOSPITAL; STATEN ISLAND UNIVERSITY HOSPITAL; STATEN ISLAND UNIVERSITY HOSPITAL NORTH SITE MENTA; STATEN ISLAND UNIVERSITY HOSPITAL-NORTH SITE; STATEN ISLAND UNIVERSITY HOSPITAL-SOUTH SITE,0/16,,STATEN ISLAND UNIVERSITY HOSPITAL x3,"NY6,NJ2","SELA, ARIAN [Physician Assistant, Surgical, STATEN ISLAND NY] | KORSHUNOV, YEVGENIY [Orthopaedic Surgery, Adult Rec, STATEN ISLAND NY] | STATEN ISLAND UNIVERSITY HOSPITAL [Rehabilitation Unit, STATEN ISLAND NY]"
Y,Northwell,131624070,hospital,Lenox Hill Hospital,6,2,,LENOX HILL HOSPITAL,0/7,,LENOX HILL HOSPITAL x2,NY7,"ESTRADA, ROBERTO [, NEW YORK NY] | KIWANUKA, ELIZABETH [Plastic Surgery, NEW YORK NY] | ADDONIZIO, DEVON [Psychiatry & Neurology, Psychi, NEW YORK NY]"
Y,Northwell,111562701,hospital,North Shore University Hospital,5,4,,LONG ISLAND JEWISH DIALYSIS CENTER; NORTH SHORE UNIVERSITY HO; NORTH SHORE UNIVERSITY HOSPITAL; NORTH SHORE UNIVERSITY HOSPITAL HEMO DIALYSIS; SYOSSET HOSPITAL,0/6,,NORTH SHORE UNIVERSITY HOSPITAL x4,"NY5,1","(not in NPPES) [,  ] | NORTH SHORE UNIVERSITY HOSPITAL [Psychiatric Unit, SYOSSET NY] | NORTH SHORE UNIVERSITY HOSPITAL [Ambulance, MANHASSET NY]"
Y,Northwell,111633487,hospital,North Shore University Hospital at Glen Cove,3,0,,NORTH SHORE UNIV HOSP AT GLEN COVE,0/5,,GLEN COVE HOSPITAL x3,"NY4,NC1","GLEN COVE HOSPITAL [Psychiatric Unit, GLEN COVE NY] | GLEN COVE HOSPITAL [Pharmacy, Community/Retail Pha, WESTBURY NY] | GLEN COVE HOSPITAL [Rehabilitation Unit, WESTBURY NY]"
Y,Northwell,113241243,hospital,Plainview Hospital,2,0,,PLAINVIEW HOSPITAL,0/2,,PLAINVIEW HOSPITAL x1,"NY1,CT1","PLAINVIEW HOSPITAL [General Acute Care Hospital, PLAINVIEW NY] | PUNZALAN, CHRISTOPHER [Emergency Medicine, HARTFORD CT]"
Y,Northwell,133775996,hospital,Lenox Hill Hospital,1,0,,LENOX HILL HOSP,0/1,,,1,"(not in NPPES) [,  ]"
Y,Northwell,111661359,hospital,Peconic Bay Medical Center,0,2,,PECONIC BAY HOMEHEALTH; PECONIC BAY MEDICAL CENTER,0/41,,CENTRAL SUFFOLK HOSPITAL x2,"NY7,FL1","NAPOLITANO, BLAISE [Family Medicine, RIVERHEAD NY] | CENTRAL SUFFOLK HOSPITAL [Physician Assistant, RIVERHEAD NY] | HAMID, FAISAL [Internal Medicine, BELLEROSE NY]"
Y,Northwell,821883445,hospital,Phelps Hospital,0,1,,PHELPS MEMORIAL HOSPITAL ASSOCIATION,0/10,,BRIGHTWATERS GYNECOLOGY PC x1,NY8,"ELSAQA, MOHAMED [Urology, SLEEPY HOLLOW NY] | CHILDREY, NEFERTITI [Urology, NEW YORK NY] | ELTAHAWY, EHAB [Urology, SLEEPY HOLLOW NY]"
Y,Northwell,133496674,hospital,Phelps Hospital,0,1,,PHELPS MEMORIAL HOSPITAL ASSOCIATION,0/1,,"WESTCHESTER GASTROENTROLOGY ASSOCIATES, PC x1",NY1,"WESTCHESTER GASTROENTROLOGY ASSOCIATES, PC [Internal Medicine, SLEEPY HOLLOW NY]"
